imagen,distancia_coord1,distancia_coord2,error_mse_coord1,error_euclidean_coord1,error_mse_coord2,error_euclidean_coord2
Normal-625.png,3.605551275463989,6.0,258.80434782608694,731.9323739253512,262.972049689441,650.6804131061576
Viral Pneumonia-1321.png,1.0,5.0,197.47632850241547,639.3559259129456,190.2583850931677,553.4582188386039
Viral Pneumonia-1043.png,3.1622776601683795,2.8284271247461903,252.89806763285023,723.5323075025744,214.90186335403726,588.2108465507926
Normal-9390.png,1.0,5.0990195135927845,123.61449275362318,505.84780319776024,120.54347826086956,440.53944204804185
COVID-140.png,1.4142135623730951,16.1245154965971,111.37487922705314,480.15205924790115,91.35217391304347,383.50619290958
Normal-1533.png,0.0,5.0,77.96763285024154,401.73747646939785,89.30993788819876,379.1952003915661
COVID-1953.png,1.0,2.23606797749979,244.91400966183573,712.0196626498456,168.16708074534162,520.335468712253
COVID-1970.png,1.0,6.0,135.85410628019324,530.2999151423654,134.02670807453416,464.52448805202937
COVID-1515.png,2.0,23.769728648009426,125.43333333333334,509.5556888113408,112.24782608695652,425.11057385108643
Normal-2255.png,0.0,2.8284271247461903,102.35265700483092,460.2933847015401,92.85031055900622,386.63807365545364
Viral Pneumonia-40.png,2.23606797749979,5.0,97.61352657004831,449.510845252926,76.90931677018634,351.8863452877932
COVID-738.png,4.47213595499958,7.0710678118654755,124.35990338164251,507.37067317691907,100.69751552795032,402.64500493610996
Viral Pneumonia-1168.png,7.280109889280518,3.1622776601683795,294.4053140096618,780.6529318461565,282.1031055900621,673.9332311141809
COVID-1843.png,10.04987562112089,16.1245154965971,624.4381642512077,1136.919962002603,581.4130434782609,967.5096898739567
Normal-1236.png,6.708203932499369,3.1622776601683795,494.0589371980676,1011.2872984468854,376.3223602484472,778.3822968182152
Normal-7279.png,5.0990195135927845,3.1622776601683795,185.2574879227053,619.2600423085604,156.9857142857143,502.7394951662342
COVID-3493.png,0.0,3.605551275463989,93.83429951690822,440.7232691837362,93.44223602484472,387.86853442887065
COVID-2068.png,1.0,2.23606797749979,72.97004830917875,388.6489418485531,69.35341614906832,334.1541560417886
Normal-647.png,2.0,3.0,259.5314009661836,732.959753328926,250.0086956521739,634.4399104722212
Normal-6194.png,2.23606797749979,4.0,424.06038647342996,936.9124825724119,410.21987577639754,812.6832101132643
Viral Pneumonia-1007.png,5.0,5.0990195135927845,105.40289855072464,467.1017019879076,90.03105590062111,380.7229964160295
Normal-3541.png,1.4142135623730951,2.23606797749979,178.76038647342995,608.3042002156487,168.83913043478262,521.3741458875766
Viral Pneumonia-700.png,3.1622776601683795,8.06225774829855,98.11256038647343,450.65840722214426,85.25714285714285,370.49156535608205
Viral Pneumonia-217.png,2.8284271247461903,2.0,178.7792270531401,608.3362557007432,178.40062111801242,535.9337645642416
Normal-3720.png,1.4142135623730951,2.8284271247461903,109.5855072463768,476.2793298055249,93.3944099378882,387.76926128820475
Viral Pneumonia-206.png,2.8284271247461903,2.23606797749979,152.86666666666667,562.5246661258509,120.40869565217392,440.29308420641814
Viral Pneumonia-149.png,3.0,7.0710678118654755,283.7971014492754,766.459392270719,257.62484472049687,644.0310551518459
Viral Pneumonia-98.png,4.47213595499958,14.035668847618199,133.9048309178744,526.4817185809969,133.63726708074535,463.8491133978807
COVID-3387.png,1.0,8.06225774829855,134.16135265700484,526.9857683087846,120.46708074534162,440.39981834691986
Viral Pneumonia-1268.png,5.385164807134504,8.0,125.89806763285024,510.4987757086201,124.58571428571429,447.86493499714845
Normal-6587.png,4.0,7.280109889280518,200.9159420289855,644.8999922468599,183.17577639751553,543.0589286624427
Normal-6283.png,3.0,4.123105625617661,97.92995169082126,450.23882551374885,70.82981366459627,337.6921675135507
Viral Pneumonia-543.png,3.0,18.110770276274835,218.3599033816425,672.3131710743141,234.26273291925466,614.1359784282305
Normal-1088.png,1.0,4.123105625617661,265.04782608695655,740.7084446663208,251.77826086956523,636.681238925728
Viral Pneumonia-1209.png,6.082762530298219,1.0,153.75169082125603,564.1506890893602,153.26521739130436,496.7464141793074
COVID-2078.png,3.0,0.0,158.21980676328502,572.2892625237695,147.82298136645963,487.8473121787185
Viral Pneumonia-968.png,5.0990195135927845,7.0710678118654755,139.2463768115942,536.8798748323502,107.92670807453416,416.84769400825525
Normal-8661.png,1.4142135623730951,2.23606797749979,111.69227053140096,480.8357307854731,96.85776397515528,394.89365657098114
Normal-9200.png,3.1622776601683795,2.23606797749979,232.79903381642512,694.1858540765578,155.3167701863354,500.05999640043194
Viral Pneumonia-891.png,2.23606797749979,1.4142135623730951,236.1328502415459,699.138755898999,214.05403726708076,587.0494016690589
COVID-3305.png,1.0,23.021728866442675,159.9632850241546,575.4337494447124,99.99503105590063,401.2380839352117
Viral Pneumonia-1260.png,2.23606797749979,2.23606797749979,159.16714975845412,574.0,139.25341614906833,473.49551212234314
Viral Pneumonia-1327.png,2.8284271247461903,3.1622776601683795,172.88840579710146,598.2298889223106,178.3832298136646,535.9076412965204
COVID-624.png,15.524174696260024,8.246211251235321,105.18792270531401,466.6251171979494,86.88447204968944,374.01069503424634
Normal-3333.png,4.123105625617661,2.23606797749979,195.36328502415458,635.9260963351009,161.8975155279503,510.5438276974857
Viral Pneumonia-1092.png,1.0,6.0,259.3628019323672,732.7216388233666,259.9552795031056,646.9374003719371
Normal-8460.png,0.0,1.4142135623730951,293.13816425120774,778.9711162809568,232.8695652173913,612.3071124852299
Normal-7156.png,3.0,3.1622776601683795,370.5048309178744,875.7539608817079,307.02670807453416,703.0739648145137
COVID-709.png,1.0,8.0,185.00676328502416,618.8408519159025,156.8726708074534,502.5584543115358
Viral Pneumonia-1248.png,1.4142135623730951,6.0,348.89565217391305,849.8317480536956,257.444099378882,643.8050947297637
Normal-7806.png,1.0,1.4142135623730951,132.4376811594203,523.5895338908141,106.53664596273292,414.1545605205863
Viral Pneumonia-162.png,6.708203932499369,3.1622776601683795,107.34975845410628,471.39579972672647,99.12049689440994,399.4796615598847
Normal-937.png,2.8284271247461903,6.0,255.4584541062802,727.1856709259334,214.16335403726708,587.1992847407088
Normal-6922.png,1.4142135623730951,2.0,90.89661835748792,433.76952405626656,85.77639751552795,371.6180835212409
COVID-106.png,5.0,1.0,169.13091787439615,591.6933327324215,137.4447204968944,470.4104590673979
Viral Pneumonia-856.png,7.615773105863909,1.4142135623730951,139.16183574879227,536.716871357702,123.45776397515527,445.8329283487257
COVID-2292.png,2.0,7.211102550927978,127.5280193236715,513.7927597777143,120.29813664596273,440.09089970141395
COVID-3090.png,2.23606797749979,6.082762530298219,123.50917874396136,505.6322774507181,126.41055900621117,451.13301807781704
COVID-3003.png,1.4142135623730951,2.0,155.75893719806763,567.821274698298,133.44534161490682,463.5159112695054
Viral Pneumonia-1249.png,6.082762530298219,4.47213595499958,147.6584541062802,552.8589331827785,135.5080745341615,467.08457478276887
Viral Pneumonia-890.png,2.23606797749979,2.0,232.9599033816425,694.4256619682196,238.516149068323,619.6862109164605
COVID-824.png,2.23606797749979,8.0,184.12995169082126,617.3726589346179,160.65341614906833,508.578410866997
Normal-4297.png,2.23606797749979,4.123105625617661,201.1942028985507,645.346418600119,178.25341614906833,535.7126095211872
Viral Pneumonia-530.png,5.0,5.0990195135927845,209.97874396135265,659.2844606086207,190.66211180124225,554.0451245160451
COVID-1943.png,1.4142135623730951,9.055385138137417,74.11690821256039,391.69120490508845,72.77329192546584,342.2937335096861
COVID-1656.png,11.180339887498949,7.211102550927978,165.8927536231884,586.0017064821569,123.40807453416149,445.74319961161495
Normal-5596.png,2.23606797749979,7.0,115.54009661835748,489.0480548984936,95.94099378881988,393.0203557069277
Normal-8438.png,2.23606797749979,4.123105625617661,155.30338164251208,566.990299740657,157.14037267080747,502.9870773687928
Normal-7608.png,1.0,6.082762530298219,83.46763285024154,415.6657310868915,81.0527950310559,361.2409168408252
Viral Pneumonia-804.png,4.0,17.029386365926403,210.6096618357488,660.27418547146,204.5801242236025,573.9111429481048
Normal-3945.png,1.0,6.0,136.40772946859903,531.3793371970725,112.09068322981366,424.8128999924555
COVID-2251.png,3.0,2.8284271247461903,64.05797101449275,364.1428291206625,66.86770186335404,328.1112616171533
Viral Pneumonia-819.png,3.0,6.082762530298219,171.59565217391304,595.9890938599464,157.3521739130435,503.3259381355187
Normal-1588.png,1.0,4.0,252.78115942028987,723.3650530679513,195.0385093167702,560.3677364017311
Normal-8981.png,1.4142135623730951,2.23606797749979,167.7512077294686,589.27497825718,134.07453416149067,464.60736111258507
COVID-192.png,1.0,22.02271554554524,192.5951690821256,631.40478300374,126.92360248447206,452.0475638691132
Normal-5098.png,1.0,2.8284271247461903,163.82753623188407,582.3426826190915,144.4751552795031,482.29140568747437
COVID-2025.png,2.8284271247461903,12.041594578792296,183.80338164251208,616.8249346451552,169.272049689441,522.0421438926171
Viral Pneumonia-1167.png,9.0,6.082762530298219,238.1265700483092,702.0840405535508,222.8198757763975,598.9490796386617
Normal-9207.png,1.4142135623730951,3.0,300.35748792270533,788.5049143791052,321.9329192546584,719.9388862952188
Normal-10027.png,3.0,1.0,140.4135265700483,539.1252173660587,108.47888198757764,417.91267030325844
Viral Pneumonia-822.png,2.23606797749979,0.0,167.5376811594203,588.8998217014504,161.79875776397515,510.3880876352817
COVID-2259.png,2.23606797749979,7.615773105863909,180.9449275362319,612.0098038430431,163.42049689440995,512.9395675905691
Viral Pneumonia-793.png,3.605551275463989,5.0990195135927845,268.11304347826086,744.979194340352,264.21801242236023,652.2200548894522
Viral Pneumonia-94.png,2.23606797749979,10.0,164.031884057971,582.7057576513209,148.3776397515528,488.7617006272075
Viral Pneumonia-101.png,2.0,7.0,205.69082125603865,652.5181989799212,188.86211180124224,551.4236121168552
COVID-670.png,15.811388300841896,21.02379604162864,99.78840579710145,454.49092400178904,75.47888198757764,348.5986230609639
Normal-6438.png,1.0,5.830951894845301,130.36521739130436,519.4766597259207,132.0416149068323,461.0715779572625
Viral Pneumonia-82.png,8.06225774829855,20.09975124224178,214.87294685990338,666.9235338477718,203.6577639751553,572.6159271274246
Viral Pneumonia-889.png,2.23606797749979,4.123105625617661,184.39903381642512,617.8235994197696,145.43726708074533,483.894616626389
Viral Pneumonia-771.png,2.0,5.0990195135927845,157.63574879227053,571.2320019046552,131.68757763975157,460.4530377790986
Normal-6859.png,1.4142135623730951,4.0,161.2840579710145,577.804465195623,155.1335403726708,499.764944749029
Viral Pneumonia-934.png,5.0990195135927845,9.055385138137417,122.643961352657,503.85811494904,107.90434782608696,416.80451053221583
Viral Pneumonia-400.png,1.0,5.385164807134504,206.39565217391305,653.635219369336,220.1944099378882,595.409942812513
COVID-3593.png,3.1622776601683795,3.605551275463989,154.17246376811593,564.922118526085,134.46521739130435,465.2837843725053
COVID-2933.png,1.4142135623730951,5.0,162.2594202898551,579.5489625562278,142.21242236024844,478.4997387669088
COVID-2913.png,1.4142135623730951,1.0,277.8729468599034,758.4174312342775,233.85155279503107,613.5967731336273
Normal-10144.png,1.0,6.0,86.79227053140097,423.8631854738036,91.60931677018634,384.0455702127027
Viral Pneumonia-847.png,9.0,4.0,185.5280193236715,619.7120298977583,171.53726708074535,525.5235484733296
Viral Pneumonia-1265.png,4.47213595499958,14.035668847618199,103.64444444444445,463.18894632752193,93.55900621118012,388.1108089193085
Normal-6955.png,2.0,4.123105625617661,162.01014492753623,579.1036176713111,150.9080745341615,492.91175680845754
Normal-3805.png,1.4142135623730951,3.1622776601683795,144.48019323671497,546.8765857119868,116.02111801242236,432.19671447154707
Normal-2430.png,2.0,21.0,101.74782608695652,458.9313674178308,87.88571428571429,376.15954062073183
Normal-2183.png,1.0,1.4142135623730951,209.30772946859904,658.2302028925747,177.7167701863354,534.9055991481114
